#M_sun	hf-174	hf-176	hf-177	hf-178	hf-179	hf-180
8	0	0	0	0	0	0
1.200000e+01	5.736690e-14	4.710590e-13	1.349799e-12	2.317851e-12	1.039406e-12	3.018070e-12
1.500000e+01	1.948691e-13	1.200988e-12	1.785396e-12	3.243682e-12	1.417330e-12	4.130064e-12
2.000000e+01	4.160714e-13	1.823062e-12	2.206658e-12	4.169069e-12	1.876524e-12	5.364568e-12
2.500000e+01	1.912108e-14	7.253960e-13	2.688287e-12	5.025571e-12	2.126768e-12	6.260010e-12
