#M_sun	kr-78	kr-80	kr-82	kr-83	kr-84	kr-86
8	0	0	0	0	0	0
1.200000e+01	1.554832e-10	1.889890e-10	1.586309e-10	1.392289e-10	6.318530e-10	2.216183e-10
1.500000e+01	2.853000e-07	1.626994e-08	6.635967e-08	4.523668e-09	1.406345e-09	5.403875e-10
2.000000e+01	8.404093e-11	2.915402e-10	6.179933e-10	5.419922e-10	2.526466e-09	1.220525e-09
2.500000e+01	6.080500e-12	1.411977e-10	6.190757e-10	4.352739e-10	1.990377e-09	4.312877e-10
