#M_sun	ga-69	ga-71
8	0	0
1.200000e+01	2.808980e-07	1.618866e-08
1.500000e+01	2.000999e-06	3.641992e-07
2.000000e+01	8.613942e-09	5.698278e-09
2.500000e+01	9.062192e-09	2.887765e-09
