#M_sun	ca-40	ca-42	ca-43	ca-44	ca-46	ca-48
8	0	0	0	0	0	0
1.200000e+01	8.542995e-03	1.410998e-05	3.294995e-06	1.251999e-04	3.035521e-10	1.560787e-09
1.500000e+01	5.113997e-03	2.436999e-05	4.373997e-06	8.502957e-06	1.403914e-09	2.062808e-09
2.000000e+01	1.341997e-03	2.021999e-05	3.728749e-08	5.693603e-07	1.246920e-09	2.614113e-09
2.500000e+01	2.081214e-06	2.241988e-08	6.398702e-09	3.521205e-08	4.705864e-09	4.388355e-09
