#M_sun	zn-64	zn-66	zn-67	zn-68	zn-70
8	0	0	0	0	0
1.200000e+01	4.101995e-05	6.041997e-05	8.780570e-08	2.691800e-07	3.017199e-10
1.500000e+01	9.116000e-03	1.393000e-04	1.292000e-05	5.734000e-04	7.982048e-10
2.000000e+01	4.003372e-08	9.008445e-08	2.152768e-08	6.177923e-08	2.073633e-09
2.500000e+01	3.319507e-08	6.438342e-08	2.469603e-08	3.759160e-08	2.013373e-09
