#M	Z	b-11
1.200000e+01	1.000000e-04	2.421680e-11
1.500000e+01	1.000000e-04	2.957841e-11
2.000000e+01	1.000000e-04	3.003999e-07
2.500000e+01	1.000000e-04	3.714989e-08
