#M	Z	pt-190	pt-192	pt-194	pt-195	pt-196	pt-198
1.200000e+01	1.000000e-04	3.706651e-14	1.039477e-12	2.286260e-11	2.240920e-11	1.925693e-11	5.387190e-12
1.500000e+01	1.000000e-04	9.270472e-14	1.449534e-12	2.844759e-11	2.738562e-11	2.390172e-11	6.791160e-12
2.000000e+01	1.000000e-04	3.584766e-13	2.905640e-12	3.610213e-11	3.523031e-11	3.034523e-11	8.093170e-12
2.500000e+01	1.000000e-04	1.566993e-14	1.101676e-12	4.056108e-11	4.090800e-11	3.548348e-11	9.781060e-12
