#M_sun	ru-96	ru-98	ru-99	ru-100	ru-101	ru-102	ru-104
8	0	0	0	0	0	0	0
1.200000e+01	3.093380e-12	1.138656e-12	7.018050e-12	7.139120e-12	8.783130e-12	1.705367e-11	9.984070e-12
1.500000e+01	1.784267e-11	1.392476e-12	9.187590e-12	8.926630e-12	1.120625e-11	2.450564e-11	1.279331e-11
2.000000e+01	4.818200e-12	2.315659e-12	1.113386e-11	1.245390e-11	1.381798e-11	3.206887e-11	1.745525e-11
2.500000e+01	4.579380e-12	1.637999e-12	1.651240e-11	1.319247e-11	1.900235e-11	3.696968e-11	2.108769e-11
