#M_sun	v-50	v-51
8	0	0
1.200000e+01	1.861562e-10	1.490998e-05
1.500000e+01	1.788975e-09	3.472999e-05
2.000000e+01	7.378764e-10	2.254904e-07
2.500000e+01	9.183965e-11	9.456560e-09
