#M_sun	nd-142	nd-143	nd-144	nd-145	nd-146	nd-148	nd-150
8	0	0	0	0	0	0	0
1.200000e+01	9.372220e-12	4.155660e-12	8.393930e-12	2.807650e-12	6.226190e-12	2.192576e-12	2.214649e-12
1.500000e+01	1.384513e-11	5.343760e-12	1.079788e-11	3.512241e-12	7.795840e-12	2.744523e-12	2.812565e-12
2.000000e+01	1.911694e-11	6.980580e-12	1.389949e-11	4.579805e-12	9.972010e-12	3.357921e-12	3.321960e-12
2.500000e+01	1.841059e-11	9.224190e-12	1.899493e-11	7.276700e-12	1.327438e-11	4.422318e-12	4.283385e-12
