#M	Z	re-185	re-187
1.200000e+01	1.000000e-04	1.014481e-12	1.631194e-12
1.500000e+01	1.000000e-04	1.341373e-12	2.130449e-12
2.000000e+01	1.000000e-04	1.727564e-12	2.719879e-12
2.500000e+01	1.000000e-04	2.107837e-12	3.385955e-12
