#M	Z	ne-20	ne-21	ne-22
1.200000e+01	1.000000e-04	6.567760e-03	4.980682e-06	9.553459e-05
1.500000e+01	1.000000e-04	1.466999e-01	3.496986e-05	1.288968e-04
2.000000e+01	1.000000e-04	1.604999e-01	3.749989e-05	1.600966e-04
2.500000e+01	1.000000e-04	1.223998e-01	7.922982e-05	1.566942e-04
