#M_sun	hg-196	hg-198	hg-199	hg-200	hg-201	hg-202	hg-204
8	0	0	0	0	0	0	0
1.200000e+01	2.604702e-13	2.836482e-12	3.655510e-12	5.556060e-12	2.970570e-12	6.863970e-12	2.384956e-12
1.500000e+01	1.091925e-12	4.540049e-12	5.229578e-12	1.048841e-11	4.248355e-12	1.163487e-11	3.399487e-12
2.000000e+01	2.969930e-12	6.618410e-12	7.308191e-12	1.331926e-11	5.480838e-12	1.506597e-11	3.404743e-12
2.500000e+01	4.778040e-14	7.703153e-12	8.185650e-12	1.266163e-11	6.563470e-12	1.532602e-11	6.167432e-12
