#M	Z	sn-112	sn-114	sn-115	sn-116	sn-117	sn-118	sn-119	sn-120	sn-122	sn-124
1.200000e+01	1.000000e-04	3.408734e-12	2.119362e-12	3.995120e-13	1.748835e-11	9.321510e-12	3.007160e-11	1.065053e-11	4.177060e-11	7.395650e-12	9.706240e-12
1.500000e+01	1.000000e-04	3.973939e-12	3.802886e-12	5.475030e-13	2.324254e-11	1.205472e-11	4.444956e-11	1.390125e-11	6.288990e-11	1.008411e-11	1.202980e-11
2.000000e+01	1.000000e-04	9.689162e-12	1.074804e-11	6.670830e-13	3.050600e-11	1.525656e-11	5.828541e-11	1.764334e-11	8.601790e-11	1.361526e-11	1.480127e-11
2.500000e+01	1.000000e-04	1.979149e-12	6.461649e-12	8.424610e-13	3.501478e-11	1.852994e-11	6.048250e-11	2.118443e-11	8.384550e-11	1.335481e-11	1.738798e-11
