#M_sun	ti-46	ti-47	ti-48	ti-49	ti-50
8	0	0	0	0	0
1.200000e+01	3.395986e-06	8.398872e-07	6.686998e-04	1.531999e-05	2.951477e-09
1.500000e+01	1.565999e-05	1.545999e-05	2.966999e-04	1.803999e-05	1.509446e-08
2.000000e+01	4.561992e-06	6.167308e-08	1.516751e-07	7.278475e-08	1.105487e-08
2.500000e+01	6.484160e-09	8.221170e-09	8.879660e-08	7.823031e-09	9.758227e-09
