#M_sun	lu-175	lu-176
8	0	0
1.200000e+01	1.663116e-12	5.271490e-13
1.500000e+01	2.127418e-12	1.271866e-12
2.000000e+01	2.681751e-12	1.913949e-12
2.500000e+01	3.192737e-12	8.904030e-13
