#M_sun	dy-156	dy-158	dy-160	dy-161	dy-162	dy-163	dy-164
8	0	0	0	0	0	0	0
1.200000e+01	1.427671e-14	2.542484e-14	5.648450e-13	3.044910e-12	4.473520e-12	4.027890e-12	5.092090e-12
1.500000e+01	2.479484e-14	4.431632e-14	8.084220e-13	3.768232e-12	5.681100e-12	4.931310e-12	6.306690e-12
2.000000e+01	4.310667e-14	1.086595e-13	1.530000e-12	4.823870e-12	7.244960e-12	6.298160e-12	7.848650e-12
2.500000e+01	1.558012e-14	2.851076e-14	8.700910e-13	6.212100e-12	9.040140e-12	8.054470e-12	1.012890e-11
