#M	Z	mn-55
1.200000e+01	1.000000e-04	3.994995e-04
1.500000e+01	1.000000e-04	3.906997e-04
2.000000e+01	1.000000e-04	2.296745e-06
2.500000e+01	1.000000e-04	2.130637e-07
