#M	Z	yb-168	yb-170	yb-171	yb-172	yb-173	yb-174	yb-176
1.200000e+01	1.000000e-04	4.997172e-14	6.052840e-13	1.669366e-12	2.790260e-12	1.892276e-12	4.065680e-12	1.752979e-12
1.500000e+01	1.000000e-04	1.370603e-13	1.106061e-12	2.131563e-12	4.113177e-12	2.382929e-12	5.108940e-12	2.281919e-12
2.000000e+01	1.000000e-04	1.775632e-13	2.293129e-12	2.685886e-12	5.196674e-12	3.059298e-12	6.571668e-12	2.847216e-12
2.500000e+01	1.000000e-04	2.457710e-14	8.532120e-13	3.371967e-12	5.475190e-12	3.747963e-12	8.475050e-12	3.463532e-12
