#M	Z	sb-121	sb-123
1.200000e+01	1.000000e-04	5.976750e-12	4.602290e-12
1.500000e+01	1.000000e-04	8.098160e-12	6.134960e-12
2.000000e+01	1.000000e-04	9.864320e-12	7.593840e-12
2.500000e+01	1.000000e-04	1.261490e-11	9.202920e-12
