#M	Z	te-120	te-122	te-123	te-124	te-125	te-126	te-128	te-130
1.200000e+01	1.000000e-04	1.948977e-13	4.766640e-12	1.513192e-12	7.893600e-12	1.143560e-11	3.191440e-11	5.241270e-11	5.749210e-11
1.500000e+01	1.000000e-04	2.889918e-13	6.547750e-12	1.960043e-12	1.152884e-11	1.445838e-11	4.466539e-11	6.507630e-11	7.193430e-11
2.000000e+01	1.000000e-04	5.781215e-13	9.985570e-12	2.610331e-12	1.465038e-11	1.851068e-11	5.796155e-11	8.497680e-11	9.128560e-11
2.500000e+01	1.000000e-04	2.529530e-13	8.238170e-12	2.873728e-12	1.616646e-11	2.295988e-11	6.420590e-11	9.880220e-11	1.076532e-10
