#M_sun	n-14	n-15
8	0	0
1.200000e+01	2.159701e-04	9.329050e-08
1.500000e+01	3.045327e-04	1.832187e-07
2.000000e+01	2.016998e-02	3.029000e-03
2.500000e+01	1.804996e-02	1.008000e-02
