#M	Z	p-31
1.200000e+01	1.000000e-04	1.142997e-04
1.500000e+01	1.000000e-04	6.683998e-04
2.000000e+01	1.000000e-04	8.481998e-04
2.500000e+01	1.000000e-04	4.723972e-05
