#M_sun	si-28	si-29	si-30
8	0	0	0
1.200000e+01	9.254993e-02	1.412983e-04	2.021989e-04
1.500000e+01	1.037000e-01	2.404999e-03	1.647999e-03
2.000000e+01	1.085000e-01	3.197999e-03	2.061999e-03
2.500000e+01	2.047994e-02	1.040984e-04	4.891894e-05
