#M_sun	br-79	br-81
8	0	0
1.200000e+01	1.643008e-10	1.537023e-10
1.500000e+01	4.694652e-09	2.197653e-09
2.000000e+01	5.658771e-10	5.449779e-10
2.500000e+01	4.961480e-10	4.361493e-10
