#M	Z	sc-45
1.200000e+01	1.000000e-04	1.692977e-07
1.500000e+01	1.000000e-04	1.282999e-06
2.000000e+01	1.000000e-04	6.828874e-08
2.500000e+01	1.000000e-04	6.155849e-09
