#M	Z	la-138	la-139
1.200000e+01	1.000000e-04	1.268135e-14	1.717279e-11
1.500000e+01	1.000000e-04	1.589023e-14	2.556513e-11
2.000000e+01	1.000000e-04	2.019272e-14	3.422839e-11
2.500000e+01	1.000000e-04	2.320627e-14	3.510887e-11
