#M	Z	pr-141
1.200000e+01	1.000000e-04	6.701200e-12
1.500000e+01	1.000000e-04	9.284680e-12
2.000000e+01	1.000000e-04	1.203394e-11
2.500000e+01	1.000000e-04	1.395254e-11
