#M_sun	se-74	se-76	se-77	se-78	se-80	se-82
8	0	0	0	0	0	0
1.200000e+01	9.482948e-09	9.928410e-10	1.848383e-10	4.173440e-10	6.675830e-10	1.471377e-10
1.500000e+01	1.768000e-06	3.822997e-07	2.315973e-08	1.211154e-09	1.379189e-09	2.293732e-10
2.000000e+01	7.404722e-10	1.504699e-09	6.994512e-10	2.091215e-09	2.571320e-09	4.412970e-10
2.500000e+01	1.931241e-11	5.315850e-10	5.712747e-10	1.561659e-09	1.509129e-09	2.784820e-10
