#M	Z	ta-180	ta-181
1.200000e+01	1.000000e-04	3.564520e-16	1.829436e-12
1.500000e+01	1.000000e-04	5.425391e-15	2.414023e-12
2.000000e+01	1.000000e-04	8.016435e-15	2.997385e-12
2.500000e+01	1.000000e-04	1.723035e-15	3.685110e-12
