#M_sun	cr-50	cr-52	cr-53	cr-54
8	0	0	0	0
1.200000e+01	2.049996e-05	3.190999e-03	1.556999e-04	8.367050e-09
1.500000e+01	5.429998e-05	2.968000e-03	1.393000e-04	2.502782e-08
2.000000e+01	5.474981e-06	7.431147e-07	3.267555e-07	2.392871e-08
2.500000e+01	1.337716e-08	2.866414e-07	3.439389e-08	1.882070e-08
