#M_sun	cl-35	cl-37
8	0	0
1.200000e+01	5.857971e-05	1.746990e-05
1.500000e+01	1.032998e-04	1.604994e-05
2.000000e+01	1.122998e-04	2.093995e-05
2.500000e+01	4.404729e-06	1.777084e-07
