#M_sun	ge-70	ge-72	ge-73	ge-74	ge-76
8	0	0	0	0	0
1.200000e+01	4.191978e-07	9.604020e-09	5.266157e-09	9.622200e-10	2.072534e-10
1.500000e+01	9.764999e-06	1.473000e-05	1.695995e-07	4.520687e-09	3.954080e-10
2.000000e+01	8.228801e-09	1.163839e-08	2.004546e-09	9.584855e-09	9.508438e-10
2.500000e+01	2.722951e-09	3.553254e-09	1.772223e-09	5.010333e-09	7.932201e-10
