#M_sun	tl-203	tl-205
8	0	0
1.200000e+01	4.096110e-12	7.743520e-12
1.500000e+01	7.380927e-12	1.146054e-11
2.000000e+01	7.238514e-12	1.424195e-11
2.500000e+01	8.613200e-12	1.632915e-11
