#M	Z	y-89
1.200000e+01	1.000000e-04	1.472698e-10
1.500000e+01	1.000000e-04	4.031692e-09
2.000000e+01	1.000000e-04	4.983143e-10
2.500000e+01	1.000000e-04	3.812116e-10
