#M_sun	in-113	in-115
8	0	0
1.200000e+01	2.615770e-13	5.402490e-12
1.500000e+01	3.359473e-13	6.823170e-12
2.000000e+01	7.437948e-13	8.610250e-12
2.500000e+01	2.218965e-12	1.083650e-11
