#M_sun	eu-151	eu-153
8	0	0
1.200000e+01	1.890219e-12	1.965288e-12
1.500000e+01	2.410896e-12	2.424355e-12
2.000000e+01	2.850268e-12	3.071766e-12
2.500000e+01	3.589911e-12	3.934052e-12
